PartitionId,DataspaceId,RepositoryId,AlertId,Description,Title,AlertKey,Severity,ComponentType,Sources,DiscoveryDate
1,4085,1743,2315238,"Security Review (CST-E) This version of Accord is vulnerable to [prototype pollution](https://snyk.io/test/npm/accord/0.12.0) through one or more dependencies. ",CST-E has determined that this component is not generally safe to use.,v6:51aa0d3bc0a24025ad76c37bf12be4b0,1,2,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnpm%2Faccord%2Freview-1.md""}}",2020-03-06 06:51:14.3304369
1,4085,1743,7614302,"Security Review (CST-E) Versions of sshpk up to and including 1.13.2 are vulnerable to a regular Expression Denial of Service (ReDoS) Remediation: Upgrade to sshpk@1.14.1 or the latest version URL: ",CST-E has determined that this component is not generally safe to use.,v6:286da790c0f345f5862660d69f7ddabf,1,2,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnpm%2Fsshpk%2Freview-1.md""}}",2022-09-15 22:18:52.3144489
1,4085,1743,7264011,AngularJS lets users write client-side web applications. The package angular after 1.7.0 is vulnerable to Regular Expression Denial of Service (ReDoS) by providing a custom locale rule that makes it possible to assign the parameter in posPre: ' '.repeat() of NUMBER_FORMATS.PATTERNS[1].posPre with a very high value.  **Note:** 1. This package has been deprecated and is no longer maintained. 2. The vulnerable versions are 1.7.0 and higher.,CVE-2022-25844,v6:f817df5db43f408f8d04a6790c968313,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-25844""}}",2022-06-07 05:16:08.2881934
1,4085,1743,7423827,"It was discovered that the C++ implementation (which underlies the R, Python and Ruby implementations) of Apache Arrow 0.14.0 to 0.14.1 had a uninitialized memory bug when building arrays with null values in some cases. This can lead to uninitialized memory being unintentionally shared if Arrow Arrays are transmitted over the wire (for instance with Flight) or persisted in the streaming IPC and file formats.",CVE-2019-12408,v6:c495e4f24d9d473997d04c6839a7f355,2,8,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2019-12408""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-12408""}}",2022-07-09 07:15:47.7580454
1,4085,1751,8243439,"Security Review (CST-E) This package version is vulnerable to elevation-of-privileges. All users must upgrade to the latest version (3.42.1 or later). For more information see [aka.ms/vuln-093611](https://aka.ms/vuln-093611). ",CST-E has determined that this component is not generally safe to use.,v6:cd4a6c50b67449eea6dd8b2cc4233a0d,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.identitymodel.s2s%2Freview-1.md""}}",2023-02-08 13:57:28.1898201
1,4085,1751,8243431,"Security Review (CST-E) This package version is vulnerable to elevation-of-privileges. All users must upgrade to the latest version (3.42.1 or later). For more information see [aka.ms/vuln-093611](https://aka.ms/vuln-093611). ",CST-E has determined that this component is not generally safe to use.,v6:c934710d4ff34f518fd274d4122c9b95,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.identitymodel.s2s%2Freview-1.md""}}",2023-02-08 13:57:28.1898201
1,4085,1751,8243432,"Security Review (CST-E) This package version is vulnerable to elevation-of-privileges. All users must upgrade to the latest version (3.42.1 or later). For more information see [aka.ms/vuln-093611](https://aka.ms/vuln-093611). ",CST-E has determined that this component is not generally safe to use.,v6:1c215b2265ba4cd8a2cd47db03acc5ef,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.identitymodel.s2s%2Freview-1.md""}}",2023-02-08 13:57:28.1898201
1,4085,1751,3450642,"Action Pack in Ruby on Rails before 3.2.22.2, 4.x before 4.1.14.2, and 4.2.x before 4.2.5.2 allows remote attackers to execute arbitrary Ruby code by leveraging an application's unrestricted use of the render method.",CVE-2016-2098,v6:ee42dd6b02d544fc910fb60714462047,2,6,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2016-2098""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2016-2098""}}",2020-07-17 16:47:46.3472719
1,4085,1751,3450643,"actionpack/lib/action_dispatch/http/mime_type.rb in Action Pack in Ruby on Rails before 3.2.22.1, 4.0.x and 4.1.x before 4.1.14.1, 4.2.x before 4.2.5.1, and 5.x before 5.0.0.beta1.1 does not properly restrict use of the MIME type cache, which allows remote attackers to cause a denial of service (memory consumption) via a crafted HTTP Accept header.",CVE-2016-0751,v6:2a88c7546ba54932badeceb675f1fcab,2,6,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2016-0751""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2016-0751""}}",2020-07-17 16:47:46.3472719
1,4085,1751,3450644,actionpack/lib/action_dispatch/routing/route_set.rb in Action Pack in Ruby on Rails 4.x before 4.2.5.1 and 5.x before 5.0.0.beta1.1 allows remote attackers to cause a denial of service (superfluous caching and memory consumption) by leveraging an application's use of a wildcard controller route.,CVE-2015-7581,v6:1df38fdc4a2745128186dae5feafe324,2,6,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2015-7581""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2015-7581""}}",2020-07-17 16:47:46.3472719
